Number,Fact
36,36 is the number of vehicles that run in each race of NASCAR's Camping World Truck Series.
37,37 is the cost in cents of the Whopper Sandwich when Burger King first introduced it in 1957.
38,"38 is the number of games that each team in the current English Premiership, the top division in English Association Football, plays in a season."
39,39 is the number of mentions of work or labor in the Torah.
40,40 is the number of points that a Premier League team needs to avoid relegation in soccer.
41,"41 is the number of times Paul McCartney sings the phrase ""Let It Be"" in the Beatles' hit Let It Be."
42,"42 is the answer to the Ultimate Question of Life, the Universe, and Everything."
43,43 is the maximum number of cars participating in a NASCAR race in the Cup Series or Nationwide Series.
44,44 is the percentage of kids who watch television before they go to sleep in the US.
45,45 is the sapphire wedding anniversary in years of marriage.
46,46 is the number of mountains in the 46 peaks of the Adirondack mountain range.
47,47 is the number of El-Aurians Scotty manages to beam up before their ship is destroyed by the energy ribbon.
48,48 is the number of Ptolemaic constellations.
49,49 is the number of days and night Siddhartha Gautama spent meditating as a holy man.
50,50 is the number of states in the United States of America.
51,51 is the atomic number of antimony.
52,"52 is the number of cards in a standard deck of playing cards, not counting Jokers or advertisement cards."
53,53 is the maximum number of players on a National Football League roster.
54,54 is the number of milligrams of caffeine Mountain Dew has.
55,55 is the number of Delegates who attended the United States Constitutional Convention in 1787.
56,"56 is the number of consecutive games in baseball in which New York Yankees' Joe DiMaggio had a base hit in 1941, still a record."
57,"57 is the number of cm that the smallest man measured, Gul Mohammed (1957-1997) of India."
58,58 is the minimum wind speed (mph) needed to issue a Severe Thunderstorm Warning.
59,59 is the number on a button commonly worn by feminist activists in the 1970s (based on the claim that a woman earned 59 cents to an equally qualified man's dollar).
60,60 is the number of seconds in a minute.
61,61 is the code for international direct dial phone calls to Australia.
62,62 is the atomic number of samarium.
63,63 is the atomic number of europium.
64,64 is the number of Braille characters in the old 6-dot system.
65,"65 is the traditional age for retirement in the United Kingdom, Germany and other countries."
66,66 is the total number of chapters in the Bible book of Isaiah.
67,67 is the highest two-digit odd number not presently designating any highway in the Interstate Highway System of the United States.
68,68 is the ideal temperature (F) for developing black-and-white film.
69,69 is the number Bill and Ted were thinking of when talking to their future selves.
70,70 is the distance (meter) from archer to targets in Olympic Archery.
71,"71 is the number of different characters that can be used with a standard English Keyboard, excluding uppercase letters."
72,72 is the percentage of water of which the human body is composed.
73,73 is the single-season home run record in baseball set by Barry Bonds in 2001.
74,74 is the atomic number of tungsten.
75,75 is the age limit for Canadian senators.
76,76 is the atomic number of osmium.
77,77 is the atomic number of iridium.
78,78 is the total number of gifts in the song The Twelve Days of Christmas.
79,"79 is the record for cumulative weeks at #1 on the Billboard charts, held by Elvis Presley."
80,80 is the length (years) of the Eighty Years' War (1568–1648).
81,81 is the number of stanzas or chapters in the Tao te Ching (in the most common arrangements).
82,82 is the number of games in an NBA or NHL regular season.
83,83 is the atomic number of bismuth.
84,84 is the code for international direct dial phone calls to Vietnam.
85,85 is the atomic number of astatine.
86,86 is the device number for a lockout relay function in electrical circuit protection schemes.
87,"87 is the number of tools in the Wenger Swiss Army Knife version XXL, listed in the Guinness Book of World Records as the world's most multi-functional penknife."
88,88 is the pounds of oxygen that the adult human body requires daily.
89,89 is the atomic number of actinium.
90,90 is the number of minutes in a football (soccer) match.
91,91 is the code for international direct dial phone calls to India.
92,"92 is the number of stories in the Xujiahui Tower proposed to be built in Shanghai, China."
93,93 is the atomic number of neptunium.
94,94 is the atomic number of plutonium.
95,95 is the atomic number of americium.
96,96 is the rating of Skyrim on metacritic.com.
97,97 is the atomic number of berkelium.
98,98 is the highest jersey number allowed in the National Hockey League (as 99 was retired by the entire league to honor Wayne Gretzky).
99,99 is a common price ending in psychological pricing.
100,100 is the number of common administrative grouping unit of homesteads in Northern Europe and Great Britain.
101,"101 is is the atomic number of mendelevium, an actinide."
102,"102 is the atomic number of nobelium, an actinide."
103,"103 is the atomic number of lawrencium, an actinide."
104,104 is the number of guns on Admiral Horatio Nelson's flagship HMS Victory.
105,"105 is the atomic number of hahnium, also known as dubnium."
106,106 is the atomic number of seaborgium (Unilhexium Unh).
107,107 is a common police code denoting a suspicious person.
108,108 is the atomic number of hassium.
109,109 is the atomic number of meitnerium.
110,110 is the atomic number of darmstadtium.
111,"111 is the lowest positive integer requiring six syllables to name in American English, or seven syllables (including ""and"") in Canadian and British English."
112,112 is the atomic number of the element copernicium (formerly called ununbium).
113,"113 is a number considred unlucky in enduro, given to a race entrant and is colloquially known as a ""blind pew""."
114,114 is the radioisotope of nuclear isomer of Cadmium with a half-life of 14.1 years.
115,115 is the atomic number of an element temporarily called ununpentium.
116,116 is the prefix for several EU-wide telephone helplines designated as harmonised service of social value.
117,"117 is the height in metres of the tallest tree recorded, located in Humboldt Redwoods State Park, California."
118,118 is the number of ridges a U.S. dime has around its edge.
119,119 is the default port for unencrypted NNTP connections.
120,120 is a file medium format developed by Kodak.
121,121 is the official end score for Cribbage.
122,122 is the traffic emergency telephone number in China.
123,123 is the emergency telephone number in Colombia.
124,124 is a stable isotope of tellurium.
125,125 is years in a quasquicentennial.
126,"126 is the atomic number of unbihexium, an element that has not yet been discovered."
127,"127 is the atomic number of Unbiseptium, an element that has not yet been discovered."
128,"128 is the number of ASCII characters (33 non-printing characters, mostly obsolete control characters that affect how text is processed, and 94 printable)."
129,129 is the rank of Liberia in world population.
130,130 is the approximate maximum height in meters of trees.
131,131 is the medical emergency telephone number in Chile.
132,132 is the number of columns of a Line printer printing in landscape mode on 14-inch paper.
133,133 is the rank in world population for Albania.
134,134 is the number of episodes in the TV series Hawaiian Eye that ran on ABC from 1959 to 1963.
135,"135 is the height of the World's tallest thermometer in feet located in Baker, California."
136,"136 is the hottest temperature ever recorded in Fahrenheits at Aziziya, Libya in September 1922."
137,137 is a radioactive isotope of Caesium formed by nuclear fission.
138,"138 is the atomic number of Untrioctium, a temporary chemical element."
139,139 is the number of law enforcement officers killed in the line of duty in 1998.
140,140 is liters of water needed to produce 1 cup of coffee.
141,141 is the number of participants (90 Indians and 51 Pilgrims) at the First Thanksgiving.
142,142 is the number of home-based business ideas included in the 142 Now packet.
143,143 is the number of milligrams of caffeine in AMP Energy.
144,144 is the number of square inches in a square foot.
145,145 is the atomic number of Unquadpentium.
146,146 is the Guinness World Record for the most languages a poem was recited in.
147,147 is the final score of the losing team in the NBA game in which Wilt Chamberlain scored 100 points.
148,148 is the number of episodes of the TV series The Fresh Prince of Bel-Air on NBC from 1990 to 1996.
149,149 is the number of legal proceedings against 149 communists in Estonia in 1924.
150,150 is the number of estimated distinct phonemes in the Taa language.
151,151 is total number of types of Pokémon in the original set.
152,152 is the number of diapers solder in a Pampers Swaddlers pack.
153,153 is the code for malignant neoplasm of the colon in the International Statistical Classification of Diseases and Related Health Problems.
154,154 is the period in days that the sun follows on gamma-ray flares.
155,"155 is the number of performances Ivanhoe, the romantic opera that opened in January 31, 1891, ran for."
156,156 is the number of strikes a clock will strike in the course of a day.
157,157 is the elevation in meters of Atalanti Island in the North Euboean Gulf of the Aegean Sea.
158,158 is the number of verses of the national anthem of Greece.
159,159 is the number of counties in the state of Georgia.
160,160 is the number of characters permitted in a standard short message service in Australia and Europe.
161,161 is the atomic number of an element temporarily called Unhexunium.
162,162 is total number of baseball games each team plays during a regular season in Major League Baseball.
163,163 is the atomic number of an element temporarily called Unhextrium.
164,164 is the number of episodes that the TV show The Adventures of Rin Tin Tin ran on ABC from 1954 to 1959.
165,"165 is miles of shoreline of Lake Berryessa in Napa County, California."
166,"166 is the number of points the Dow Jones Industrials fell on June 24, 2005."
167,167 is the number of volcanoes in Indonesia.
168,"168 is the number of hours in a week, or 7 x 24 hours."
169,"169 is the height in feet that Buddha Dordenma, a Shakyamuni Buddha statue under construction in the mountains of Bhutan, once completed, would be."
170,170 is 170 is the maximum check-out possible in a standard game of darts (where the final score must be a double).
171,171 is the atomic number of an element called Ununseptunium.
172,172 is the temperature in Farenheit at which alcohol boils.
173,173 is the Exit status indicated by Mac App Store software when receipt validation fails.
174,"174 is the populatiokn of Aupaluk, Quebec (as of 2006)."
175,175 is the rank of Belize in world population.
176,"176 is the number of verses in the longest chapter in the Bible, Psalm 119."
177,177 is the all-time titles record held by Tennis Hall of Famer Martina Navratilova.
178,178 is the rank of Estonia in world population density.
179,179 is the number of games played in the MLB with 162 games in the regular season and the potential 17 post-season games.
180,180 is a number that in an astrological aspect is considered to be negative in influence.
181,181 is the rank of SÃ£o TomÃ© and PrÃ­ncipe in world population.
182,182 is the atomic number of an element temporarily called Unoctbium.
183,"183 is the id number of Issam Hamid Al Bin Ali Al Jayfi, a detainee at Guantanamo Bay."
184,"184 is a weight class in collegiate wrestling, 184 lb (83 kg)."
185,185 is the rank Grenada in world population.
186,186 is the length of the Judgment at Nuremberg measured in 186 minutes.
187,187 is the number of the California Penal Code section describing murder.
188,188 is the range measured in miles of a fully charged electric battery-powered Lightning GT sports car.
189,189 is the atomic number of an element temporarily called Unoctennium.
190,190 is the rank of Seychelles in world population.
191,191 is a common flight number for flights involved in crashes.
192,192 is the number of days it took to form the 2007 Belgian government.
193,193 is species of monkeys and apes.
194,194 is the rank of Equatorial Guinea in population density.
195,"195 is the speed in miles per hour at which Canadian race car driver Francis Affleck was driving when his car rolled over and died on February 7, 1985."
196,196 is the length in miles of the Adda River in Italy.
197,197 is the approximate atomic mass of Gold.
198,198 is the number of episodes that Woody Harrelson appeared as Woody Boyd in Cheers (of 273 episodes) between 1985-1993.
199,199 is the number of points by Mario Lemieux in the 1988-1989 NHL season.
200,"200 is degrees in a human""s field of vision (approximately)."
201,201 is the Saros cycle; the next solar eclipse in this cycle is predicted to take place in AD 3223.
202,202 is the HTTP status code indicating the request was accepted but has not yet been fulfilled.
203,203 is the HTTP status code indicating partial information.
204,204 is the HTTP status code indicating the request was received but there is no response to the request.
205,205 is the world speed record (mph) of a car on ice.
206,206 is bones in the typical adult human body.
207,207 is the area code for the US state of Maine.
208,208 is the area code for the US state of Idaho.
209,209 is the basketball record for most three pointers in a row.
210,210 is the world speed record (km/h) for a mountain bike on a ski slope.
211,211 is the SMTP status code system status.
212,"212 is the area code for Manhattan, one of the original area codes, and considered the most coveted in America."
213,"213 is the name of a hip hop, active 1990-2004."
214,214 is the SMTP status code for help message.
215,215 is the Dewey Decimal Classification for Science and religion.
216,216 is the number of stitches on a baseball.
217,217 is the area code for central Illinois.
218,218 is votes required in the US House of Representatives to achieve a majority as of 2008.
219,219 is a boring number.
220,220 is the common voltage in many countries.
221,221 is the house number on Baker Street of the fictional London residence of Sherlock Holmes.
222,222 is the number for Historical Books of the Old Testament in the Dewey Decimal System.
223,223 is an uninteresting number.
224,224 is an uninteresting number.
225,225 is the longest distance in miles a deepwater lobster has been recorded to travel.
226,226 is a boring number.
227,"227 is the number of days Pi Patel was at sea in the popular novel, Life of Pi."
228,228 is a boring number.
229,229 is the lowest individual batting score not achieved by any player in test match cricket.
230,230 is the country code for Mauritius.
231,231 is the number of cubic inches in a U.S. liquid gallon.
232,232 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
233,233 is an unremarkable number.
234,234 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
235,"235 is the number of three interstate highways in the United States, located in the states of Iowa, Kansas, and Oklahoma."
236,236 is an unremarkable number.
237,237 is an unremarkable number.
238,238 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
239,239 is the number of chapters in the Book of Mormon.
240,240 is the cholesterol level above which is considered high risk.
241,241 is an unremarkable number.
242,242 is the rumored time for the release of Radiohead's pre-sale for their 2012 tour.
243,243 is the Calling code for Zaire.
244,244 is an unremarkable number.
245,245 is the number of Jewish singers who returned from captivity in Babylon in circa 538 BCE BC following the rise of Cyrus the Great and the Persian Empire.
246,246 is an unremarkable number.
247,247 is an unremarkable number.
248,248 is the number of organs in the human body as traditionally depicted.
249,249 is an unremarkable number.
250,250 is the number of Pokémon originally available in Pokémon Gold and Silver before Celebi was added.
251,251 is the last and most powerful prime mover (engine) designed and built by the American Locomotive Company (ALCO).
252,252 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
253,253 is a boring number.
254,254 is a boring number.
255,"255 is the largest values that can be assigned to elements in the 24-bit RGB color model, since each color channel is allotted eight bits."
256,256 is the number of NFL regular season football games.
257,257 is an unremarkable number.
258,258 is an unremarkable number.
259,259 is an uninteresting number.
260,260 is an unremarkable number.
261,261 is number of possible unfolded tesseract patterns.
262,262 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
263,263 is an uninteresting number.
264,264 is a boring number.
265,265 is an unremarkable number.
266,266 is an uninteresting number.
267,267 is the number of groups of order 64.
268,268 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
269,269 is a boring number.
270,270 is the average number of days in human pregnancy.
271,271 is an unremarkable number.
272,272 is an unremarkable number.
273,"273 is the number of seconds in American composer John Cage's piano composition 4'33"" of silence, in three movements."
274,274 is a boring number.
275,275 is an uninteresting number.
276,"276 is the highest number of rounds in boxing history, in a bare-knuckle fight in 1825 that saw Jack Jones beat Patsy Tunney after 4hr 30min."
277,277 is a boring number.
278,278 is an unremarkable number.
279,279 is a boring number.
280,280 is a boring number.
281,281 is an unremarkable number.
282,282 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
283,283 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
284,284 is an unremarkable number.
285,285 is the total number of Rules of Acquisition in Star Trek.
286,286 is a boring number.
287,287 is a boring number.
288,288 is a boring number.
289,289 is an unremarkable number.
290,290 is a boring number.
291,291 is a boring number.
292,292 is an unremarkable number.
293,293 is a boring number.
294,294 is an unremarkable number.
295,295 is the numerical designation of seven circumfrental or half-circumfrental routes of Interstate 95 in the United States.
296,296 is a boring number.
297,297 is an unremarkable number.
298,298 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
299,299 is an uninteresting number.
300,300 is the number of different beverages the Coca Cola company offers.
301,301 is an unremarkable number.
302,302 is an unremarkable number.
303,303 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
304,304 is the record number of wickets taken in English cricket season by Tich Freeman in 1928.
305,305 is an unremarkable number.
306,306 is an uninteresting number.
307,307 is an uninteresting number.
308,308 is an unremarkable number.
309,309 is an unremarkable number.
310,310 is an unremarkable number.
311,311 is an unremarkable number.
312,312 is an uninteresting number.
313,"313 is the number of Muslims who fought in the Battle of Badr against Muhammad's, and by extension, Islam's, foes."
314,314 is an unremarkable number.
315,315 is an unremarkable number.
316,316 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
317,317 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
318,318 is an uninteresting number.
319,319 is a boring number.
320,320 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
321,321 is an unremarkable number.
322,322 is an uninteresting number.
323,323 is a boring number.
324,324 is an uninteresting number.
325,325 is an uninteresting number.
326,326 is an unremarkable number.
327,327 is an unremarkable number.
328,"328 is the weight in pounds of an ovarian cyst removed from a woman in Galveston, Texas, in 1905, a world record."
329,329 is an unremarkable number.
330,330 is a boring number.
331,331 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
332,332 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
333,333 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
334,334 is the long-time highest score in Test cricket (held by Sir Donald Bradman and Mark Taylor).
335,335 is an uninteresting number.
336,336 is the number of dimples on an American golf ball.
337,337 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
338,338 is an unremarkable number.
339,339 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
340,340 is a boring number.
341,341 is an uninteresting number.
342,342 is an uninteresting number.
343,"343 is the number of New York City Firefighters who died on September 11, 2001."
344,344 is a boring number.
345,345 is an unremarkable number.
346,346 is an unremarkable number.
347,347 is a boring number.
348,348 is an unremarkable number.
349,349 is an unremarkable number.
350,350 is the number of cubic inches displaced in the most common form of the Small Block Chevrolet V8.
351,351 is an uninteresting number.
352,"352 is the number of international appearances by Kristine Lilly for the USA women's national soccer team, an all-time record."
353,353 is an uninteresting number.
354,354 is a boring number.
355,355 is an uninteresting number.
356,356 is an unremarkable number.
357,357 is an unremarkable number.
358,358 is an uninteresting number.
359,359 is a boring number.
360,360 is the number of degrees in a circle for the purpose of angular measurement.
361,361 is the number of positions on a standard 19 x 19 Go board.
362,362 is a boring number.
363,363 is an unremarkable number.
364,"364 is the total number of gifts received in the song ""The Twelve Days of Christmas""."
365,365 is the number of solar days in the mean tropical year.
366,366 is the number of days in a leap year.
367,367 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
368,368 is a boring number.
369,369 is a boring number.
370,370 is an uninteresting number.
371,371 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
372,372 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
373,373 is a boring number.
374,374 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
375,375 is a boring number.
376,376 is an uninteresting number.
377,377 is a boring number.
378,378 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
379,379 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
380,380 is a boring number.
381,381 is an unremarkable number.
382,382 is an uninteresting number.
383,383 is the cubic displacement in inches of a 350cid Small Block Chevrolet with a 400cid SBC crankshaft.
384,384 is the digest length of the secure hash function SHA-384 (384 is a low power of 2).
385,385 is an uninteresting number.
386,386 is the number of Pokémon in the 3rd Generation National Pokédex.
387,387 is a boring number.
388,388 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
389,389 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
390,390 is the speed in feet per second that nerve impulses for muscle position travel at.
391,391 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
392,392 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
393,393 is an unremarkable number.
394,394 is an unremarkable number.
395,395 is an uninteresting number.
396,396 is the displacement in cubic inches of early Chevrolet Big-Block engines.
397,397 is an uninteresting number.
398,398 is a boring number.
399,399 is an unremarkable number.
400,"400 is the number of years in a period of the Gregorian calendar, of which 97 are leap years and 303 are common."
401,401 is an unremarkable number.
402,402 is a boring number.
403,403 is a boring number.
404,"404 is the HTTP status code for ""Not found"", perhaps the most famous HTTP status code."
405,405 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
406,406 is an uninteresting number.
407,407 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
408,408 is an uninteresting number.
409,409 is a boring number.
410,410 is an uninteresting number.
411,411 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
412,412 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
413,413 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
414,414 is a boring number.
415,415 is an uninteresting number.
416,416 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
417,417 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
418,"418 is the error code for ""I'm a teapot"" in the Hyper Text Coffee Pot Control Protocol."
419,419 is a boring number.
420,420 is a boring number.
421,421 is a boring number.
422,422 is an uninteresting number.
423,423 is a boring number.
424,424 is an uninteresting number.
425,425 is a boring number.
426,426 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
427,427 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
428,428 is an unremarkable number.
429,429 is an uninteresting number.
430,430 is a boring number.
431,431 is an unremarkable number.
432,"432 is three-dozen sets of a dozen, making it three gross."
433,"433 is the perfect score in the game show Fifteen To One, only ever achieved once in over 2000 shows."
434,434 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
435,435 is a boring number.
436,436 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
437,437 is a boring number.
438,438 is an uninteresting number.
439,439 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
440,440 is the standard frequency in hertz to which most orchestras tune the pitch A above middle C.
441,441 is the number of squares on a Super Scrabble board.
442,442 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
443,443 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
444,444 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
445,445 is an uninteresting number.
446,446 is an uninteresting number.
447,447 is an unremarkable number.
448,448 is an uninteresting number.
449,449 is a boring number.
450,450 is a perfect score in Canadian five-pin bowling.
451,"451 is the temperature at which the paper in books ignites, giving the name to Ray Bradbury's novel Fahrenheit 451."
452,452 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
453,453 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
454,454 is a boring number.
455,455 is a boring number.
456,456 is a boring number.
457,457 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
458,458 is a boring number.
459,459 is an uninteresting number.
460,460 is an unremarkable number.
461,461 is an uninteresting number.
462,462 is a boring number.
463,463 is the number of days in the synodic period of Ceres.
464,"464 is the number of legal positions of the kings in chess, not counting mirrored positions."
465,465 is a boring number.
466,466 is a boring number.
467,467 is a boring number.
468,468 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
469,469 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
470,470 is the minimum length in yards from the tee to the hole on a Par 5.
471,471 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
472,472 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
473,473 is an uninteresting number.
474,474 is a boring number.
475,475 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
476,476 is an unremarkable number.
477,477 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
478,478 is an uninteresting number.
479,479 is an uninteresting number.
480,"480 is the number of hours for rocking non-stop in a rocking chair, a world record held by Dennis Easterling of Atlanta."
481,481 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
482,482 is a boring number.
483,483 is a boring number.
484,484 is an uninteresting number.
485,485 is an uninteresting number.
486,486 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
487,487 is an unremarkable number.
488,488 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
489,489 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
490,490 is the number of times Jesus told Peter to forgive his brother in the Gospel of Matthew.
491,491 is an unremarkable number.
492,492 is a boring number.
493,"493 is the number of Pokémon species, from the first set through the fourth generation as of August 2009."
494,494 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
495,495 is a boring number.
496,496 is what the dimension of the gauge group must be for a superstring theory to make sense.
497,497 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
498,498 is an unremarkable number.
499,499 is a number for which we're missing a fact (submit one to numbersapi at google mail!).
500,500 is the winning permillage (tenth of a percent) of a sports team with equal numbers of wins and losses.
